Type,Legendary
Grass,False
Grass,False
Grass,False
Grass,False
Fire,False
Fire,False
Fire,False
Fire,False
Fire,False
Water,False
Water,False
Water,False
Water,False
Bug,False
Bug,False
Bug,False
Bug,False
Bug,False
Bug,False
Bug,False
Normal,False
Normal,False
Normal,False
Normal,False
Normal,False
Normal,False
Normal,False
Normal,False
Poison,False
Poison,False
Electric,False
Electric,False
Ground,False
Ground,False
Poison,False
Poison,False
Poison,False
Poison,False
Poison,False
Poison,False
Fairy,False
Fairy,False
Fire,False
Fire,False
Normal,False
Normal,False
Poison,False
Poison,False
Grass,False
Grass,False
Grass,False
Bug,False
Bug,False
Bug,False
Bug,False
Ground,False
Ground,False
Normal,False
Normal,False
Water,False
Water,False
Fighting,False
Fighting,False
Fire,False
Fire,False
Water,False
Water,False
Water,False
Psychic,False
Psychic,False
Psychic,False
Psychic,False
Fighting,False
Fighting,False
Fighting,False
Grass,False
Grass,False
Grass,False
Water,False
Water,False
Rock,False
Rock,False
Rock,False
Fire,False
Fire,False
Water,False
Water,False
Water,False
Electric,False
Electric,False
Normal,False
Normal,False
Normal,False
Water,False
Water,False
Poison,False
Poison,False
Water,False
Water,False
Ghost,False
Ghost,False
Ghost,False
Ghost,False
Rock,False
Psychic,False
Psychic,False
Water,False
Water,False
Electric,False
Electric,False
Grass,False
Grass,False
Ground,False
Ground,False
Fighting,False
Fighting,False
Normal,False
Poison,False
Poison,False
Ground,False
Ground,False
Normal,False
Grass,False
Normal,False
Normal,False
Water,False
Water,False
Water,False
Water,False
Water,False
Water,False
Psychic,False
Bug,False
Ice,False
Electric,False
Fire,False
Bug,False
Bug,False
Normal,False
Water,False
Water,False
Water,False
Water,False
Normal,False
Normal,False
Water,False
Electric,False
Fire,False
Normal,False
Rock,False
Rock,False
Rock,False
Rock,False
Rock,False
Rock,False
Normal,False
Ice,True
Electric,True
Fire,True
Dragon,False
Dragon,False
Dragon,False
Psychic,True
Psychic,True
Psychic,True
Psychic,False
Grass,False
Grass,False
Grass,False
Fire,False
Fire,False
Fire,False
Water,False
Water,False
Water,False
Normal,False
Normal,False
Normal,False
Normal,False
Bug,False
Bug,False
Bug,False
Bug,False
Poison,False
Water,False
Water,False
Electric,False
Fairy,False
Normal,False
Fairy,False
